date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:39	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202025%2000:23:38%20GMT	http://tailwindcss.com/docs	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/docs.0.delayed	(from )
19:23:39	132/132	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2022%20Jan%202025%2000:23:39%20GMT	https://tailwindcss.com/docs	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/docs.1.delayed	(from )
19:23:40	125917/125917	---MCZ	200	added ('OK')	text/html	etag:W/%22bc041c17e99c51b10078aa69a48fe28e%22	https://tailwindcss.com/docs/installation	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/docs/installation.html	(from )
19:23:40	5248/5248	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22469ef2dd5e8a7fa41931b51a06e38cf5%22	https://tailwindcss.com/robots.txt		(from )
19:23:40	422199/422199	---MC-	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202025%2000:23:40%20GMT	https://tailwindcss.com/api/og?path=/docs/installation	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/api/ogf3cb.png	(from https://tailwindcss.com/docs/installation)
19:23:41	1701360/1701360	---MCZ	200	added ('OK')	application/xml	etag:W/%22e6ee2c338c24850ddb63307b784776a9%22	https://tailwindcss.com/feeds/feed.xml	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/feeds/feed.xml	(from https://tailwindcss.com/docs/installation)
19:23:41	1700655/1700655	---MCZ	200	added ('OK')	application/xml	etag:W/%2207707a32fef6cfd00b551f98cd4081ae%22	https://tailwindcss.com/feeds/atom.xml	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/feeds/atom.xml	(from https://tailwindcss.com/docs/installation)
19:23:41	1760823/1760823	---MCZ	200	added ('OK')	application/json	etag:W/%229174aa7ec31dc56e7b91ca6cbe8b79f2%22	https://tailwindcss.com/feeds/feed.json	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/feeds/feed.json	(from https://tailwindcss.com/docs/installation)
19:23:41	2745/2745	---M--	200	added ('OK')	image/png	etag:%22bf8d984d0cc109b49b09e0545f88c8ce%22	https://tailwindcss.com/favicons/apple-touch-icon.png?v=3	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/favicons/apple-touch-icon30f4.png	(from https://tailwindcss.com/docs/installation)
19:23:41	1348/1348	---M--	200	added ('OK')	image/png	etag:%22b43e9a78ed90cf9982be77940e44167f%22	https://tailwindcss.com/favicons/favicon-32x32.png?v=3	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/favicons/favicon-32x3230f4.png	(from https://tailwindcss.com/docs/installation)
19:23:42	781/781	---M--	200	added ('OK')	image/png	etag:%22f4ac06196368f02036a604a4312303af%22	https://tailwindcss.com/favicons/favicon-16x16.png?v=3	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/favicons/favicon-16x1630f4.png	(from https://tailwindcss.com/docs/installation)
19:23:42	383/383	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%22e2072503a3273e6d329dfee638f22642%22	https://tailwindcss.com/favicons/site.webmanifest?v=3	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/favicons/site30f4.webmanifest	(from https://tailwindcss.com/docs/installation)
19:23:42	1251/1251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228a0efb84e6fc5da7541db74e93cfc78e%22	https://tailwindcss.com/favicons/safari-pinned-tab.svg?v=3	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/favicons/safari-pinned-tab30f4.svg	(from https://tailwindcss.com/docs/installation)
19:23:42	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22dbfd614553832c7f4c76234df3be31f3%22	https://tailwindcss.com/favicons/favicon.ico?v=3	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/favicons/favicon30f4.ico	(from https://tailwindcss.com/docs/installation)
19:23:43	259/259	---MCZ	200	added ('OK')	application/xml	etag:W/%2232a335842c0de948a5407d203be0ac76%22	https://tailwindcss.com/favicons/browserconfig.xml?v=3	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/favicons/browserconfig30f4.xml	(from https://tailwindcss.com/docs/installation)
19:23:43	324657/324657	---MCZ	200	added ('OK')	text/css	etag:W/%226804c127e390033cf7f68696afe8f67e%22	https://tailwindcss.com/_next/static/css/ca40c9b7c97ebdb6.css	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/_next/static/css/ca40c9b7c97ebdb6.css	(from https://tailwindcss.com/docs/installation)
19:23:43	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://tailwindcss.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://tailwindcss.com/docs/installation)
19:23:43	2437/2437	---MCZ	200	added ('OK')	application/javascript	etag:W/%22175fbefa4192e840be8f55409ef01fa4%22	https://tailwindcss.com/_next/static/chunks/webpack-e81585bb9a6b8f4d.js	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/_next/static/chunks/webpack-e81585bb9a6b8f4d.js	(from https://tailwindcss.com/docs/installation)
19:23:43	141075/141075	---MCZ	200	added ('OK')	application/javascript	etag:W/%227139a33e17faa89b1ea96aeb70592ad5%22	https://tailwindcss.com/_next/static/chunks/framework-ce84985cd166733a.js	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/_next/static/chunks/framework-ce84985cd166733a.js	(from https://tailwindcss.com/docs/installation)
19:23:44	102529/102529	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a91db970dacb2492da5db87853454f00%22	https://tailwindcss.com/_next/static/chunks/main-78bff94cbf1c228a.js	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/_next/static/chunks/main-78bff94cbf1c228a.js	(from https://tailwindcss.com/docs/installation)
19:23:44	442484/442484	---MCZ	200	added ('OK')	text/html	etag:W/%221fe28d6f3d8f3ab4b4d8a8dc8532a0ae%22	https://tailwindcss.com/	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/index.html	(from https://tailwindcss.com/docs/installation)
19:23:44	249373/249373	---MCZ	200	added ('OK')	application/javascript	etag:W/%221461d6f6b53dcbdb30b3ce75d2043a4b%22	https://tailwindcss.com/_next/static/chunks/pages/_app-96d7560c3b71261e.js	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/_next/static/chunks/pages/_app-96d7560c3b71261e.js	(from https://tailwindcss.com/docs/installation)
19:23:45	20929/20929	---MCZ	200	added ('OK')	application/javascript	etag:W/%228745a2a0674216f3f700d725f73140ed%22	https://tailwindcss.com/_next/static/chunks/9495-5b290775bc2bcc32.js	C:/My%20Web%20Sites/Tailwind%20Documentation/tailwindcss.com/_next/static/chunks/9495-5b290775bc2bcc32.js	(from https://tailwindcss.com/docs/installation)
